Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
1960,     680514,         282,          14,          37,          62,         169,       7639,       1687,       5363,         589,          41.4,           2.1,           5.4,           9.1,          24.8,       1122.5,         247.9,         788.1,          86.6 
1961,     690000,         245,          12,          42,          61,         130,       7612,       1655,       5323,         634,          35.5,           1.7,           6.1,           8.8,          18.8,       1103.2,         239.9,         771.4,          91.9 
1962,     721000,         279,          24,          42,          62,         151,       7680,       1843,       5160,         677,          38.7,           3.3,           5.8,           8.6,          20.9,       1065.2,         255.6,         715.7,          93.9 
1963,     737000,         278,           9,          39,          78,         152,       7952,       1818,       5458,         676,          37.7,           1.2,           5.3,          10.6,          20.6,       1079.0,         246.7,         740.6,          91.7 
1964,     715000,         408,           9,          39,          59,         301,       8310,       1870,       5837,         603,          57.1,           1.3,           5.5,           8.3,          42.1,       1162.2,         261.5,         816.4,          84.3 
1965,     703000,         415,          11,          48,          65,         291,       8553,       1858,       6177,         518,          59.0,           1.6,           6.8,           9.2,          41.4,       1216.6,         264.3,         878.7,          73.7 
1966,     682000,         568,          10,          61,          68,         429,       9757,       2175,       6964,         618,          83.3,           1.5,           8.9,          10.0,          62.9,       1430.6,         318.9,       1021.1,          90.6 
1967,     674000,         586,          25,          56,          87,         418,       9906,       2302,       7037,         567,          86.9,           3.7,           8.3,          12.9,          62.0,       1469.7,         341.5,       1044.1,          84.1 
1968,     657000,         563,          25,          67,         127,         344,      10955,       2826,       7449,         680,          85.7,           3.8,          10.2,          19.3,          52.4,       1667.4,         430.1,       1133.8,         103.5 
1969,     659000,         510,          13,          73,          85,         339,      11562,       2801,       8063,         698,          77.4,           2.0,          11.1,          12.9,          51.4,       1754.5,         425.0,       1223.5,         105.9 
1970,     666257,         616,          25,          74,         114,         403,      13066,       3140,       9302,         624,          92.5,           3.8,          11.1,          17.1,          60.5,       1961.1,         471.3,       1396.2,          93.7 
1971,     670000,         644,           8,          66,         122,         448,      13153,       3037,       9558,         558,          96.1,           1.2,           9.9,          18.2,          66.9,       1963.1,         453.3,       1426.6,          83.3 
1972,     679000,         756,           8,          77,         106,         565,      13690,       3210,       9751,         729,         111.3,           1.2,          11.3,          15.6,          83.2,       2016.2,         472.8,       1436.1,         107.4 
1973,     685000,         869,          26,          88,         169,         586,      14035,       3416,       9631,         988,         126.9,           3.8,          12.8,          24.7,          85.5,       2048.9,         498.7,       1406.0,         144.2 
1974,     682000,       1234,          14,          73,         139,       1008,      16981,       4072,      11835,       1074,         180.9,           2.1,          10.7,          20.4,         147.8,       2489.9,         597.1,       1735.3,         157.5 
1975,     683000,       1402,          25,         113,         212,       1052,      17305,       4561,      11597,       1147,         205.3,           3.7,          16.5,          31.0,         154.0,       2533.7,         667.8,       1698.0,         167.9 
1976,     686000,       1277,          12,         105,         159,       1001,      16836,       4256,      11554,       1026,         186.2,           1.7,          15.3,          23.2,         145.9,       2454.2,         620.4,       1684.3,         149.6 
1977,     689000,       1303,          14,          93,         123,       1073,      16690,       3931,      11743,       1016,         189.1,           2.0,          13.5,          17.9,         155.7,       2422.4,         570.5,       1704.4,         147.5 
1978,     690000,       1128,          13,          75,         110,         930,      17428,       4138,      12186,       1104,         163.5,           1.9,          10.9,          15.9,         134.8,       2525.8,         599.7,       1766.1,         160.0 
1979,     689000,       1096,          14,         113,         140,         829,      19297,       4316,      13782,       1199,         159.1,           2.0,          16.4,          20.3,         120.3,       2800.7,         626.4,       2000.3,         174.0 
1980,     688217,         873,           5,          86,         138,         644,      21447,       4766,      15521,       1160,         126.8,            .7,          12.5,          20.1,          93.6,       3116.3,         692.5,       2255.2,         168.6 
1981,     685000,         718,          12,          79,         122,         505,      19922,       4348,      14587,         987,         104.8,           1.8,          11.5,          17.8,          73.7,       2908.3,         634.7,       2129.5,         144.1 
1982,     691000,         684,          19,          79,         118,         468,      17592,       3885,      12889,         818,          99.0,           2.7,          11.4,          17.1,          67.7,       2545.9,         562.2,       1865.3,         118.4 
1983,     700000,         840,          15,         119,         111,         595,      16993,       3820,      12453,         720,         120.0,           2.1,          17.0,          15.9,          85.0,       2427.6,         545.7,       1779.0,         102.9 
1984,     706000,       1041,          13,         190,         105,         733,      17403,       3529,      13102,         772,         147.5,           1.8,          26.9,          14.9,         103.8,       2465.0,         499.9,       1855.8,         109.3 
